,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34,24,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,61,3,1,Research Scientist,4,Married,2,Yes,16,3,1,1,6,2,2,2,0,2,0
35,43,No,Travel_Rarely,Research & Development,2,2,Medical,4,72,4,1,Research Scientist,3,Divorced,1,No,12,3,4,2,6,3,2,5,3,1,4
36,50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,86,2,1,Sales Representative,3,Married,1,Yes,14,3,3,0,3,2,3,3,2,0,2
37,35,No,Travel_Rarely,Sales,2,3,Marketing,4,97,3,1,Sales Representative,4,Married,1,No,13,3,1,0,2,3,3,2,2,2,2
38,36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,82,2,1,Research Scientist,1,Married,9,Yes,14,3,4,1,6,3,4,1,1,0,0
39,33,No,Travel_Frequently,Sales,1,3,Life Sciences,3,42,4,2,Sales Executive,1,Married,2,No,19,3,1,2,10,3,3,5,3,1,3
40,35,No,Travel_Rarely,Research & Development,4,2,Other,3,75,3,1,Laboratory Technician,4,Divorced,1,No,12,3,3,1,1,3,3,1,0,0,0
41,27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,33,3,1,Laboratory Technician,1,Divorced,1,No,13,3,4,1,1,6,3,1,0,0,0
42,26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,48,1,1,Laboratory Technician,3,Single,1,No,12,3,3,0,1,2,2,1,0,0,1
43,27,No,Travel_Frequently,Sales,8,3,Life Sciences,4,37,3,3,Sales Executive,3,Single,1,No,15,3,4,0,9,0,3,9,8,1,7
44,30,No,Travel_Frequently,Research & Development,1,2,Medical,3,58,3,2,Laboratory Technician,4,Single,1,No,23,4,4,0,12,2,3,12,8,3,7
45,41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,49,3,5,Research Director,3,Married,1,No,12,3,4,0,23,0,3,22,15,15,8
46,34,No,Non-Travel,Sales,23,4,Marketing,2,72,3,2,Sales Executive,3,Single,0,No,20,4,3,0,10,2,3,9,5,8,7
47,37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,73,3,1,Research Scientist,2,Married,4,No,21,4,1,0,8,1,3,1,0,0,0
48,46,No,Travel_Frequently,Sales,5,4,Marketing,1,98,3,2,Sales Executive,4,Single,4,Yes,21,4,3,0,14,4,3,9,6,0,8
49,35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,36,4,1,Laboratory Technician,4,Married,1,No,19,3,4,0,1,2,3,1,0,0,1
50,48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,98,2,3,Laboratory Technician,3,Single,9,Yes,13,3,4,0,23,2,3,1,0,0,0
51,28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,50,3,1,Laboratory Technician,3,Single,1,Yes,13,3,3,0,2,3,2,2,2,2,2
52,44,No,Travel_Rarely,Sales,1,5,Marketing,2,75,3,2,Sales Executive,1,Divorced,5,Yes,21,4,3,1,9,2,2,4,3,1,3
53,35,No,Non-Travel,Research & Development,11,2,Medical,3,79,2,3,Healthcare Representative,1,Married,2,Yes,13,3,3,1,10,3,3,4,0,2,3
54,26,No,Travel_Rarely,Sales,23,3,Marketing,3,47,2,2,Sales Executive,4,Married,7,Yes,19,3,3,1,5,2,2,2,2,0,0
55,33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,98,3,3,Research Director,4,Single,1,Yes,12,3,3,0,15,1,3,15,14,8,12
56,35,No,Travel_Frequently,Sales,18,5,Life Sciences,2,71,3,3,Sales Executive,1,Married,1,No,22,4,4,1,9,3,2,9,8,1,8
57,35,No,Travel_Rarely,Research & Development,23,4,Medical,3,30,3,1,Laboratory Technician,1,Married,3,Yes,15,3,3,1,4,3,3,2,2,2,2
58,31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,48,3,2,Laboratory Technician,4,Divorced,3,No,22,4,4,1,10,3,2,7,7,1,7
59,37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,51,2,2,Manufacturing Director,3,Divorced,1,No,18,3,3,1,7,2,4,7,5,0,7
60,32,No,Travel_Rarely,Research & Development,1,3,Medical,1,33,3,2,Manufacturing Director,4,Married,1,Yes,22,4,2,1,9,3,3,9,8,7,8
61,38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,50,3,2,Laboratory Technician,4,Single,1,No,11,3,4,0,10,2,3,10,3,9,9
62,50,No,Travel_Rarely,Research & Development,7,2,Medical,2,43,2,5,Research Director,3,Divorced,5,Yes,12,3,4,1,29,2,2,27,3,13,8
63,59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,99,3,3,Sales Executive,1,Single,7,No,11,3,4,0,28,3,2,21,16,7,9
64,36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,59,3,3,Healthcare Representative,3,Divorced,1,No,13,3,2,3,17,2,3,17,14,12,8
65,55,No,Travel_Rarely,Research & Development,8,3,Medical,4,33,3,4,Manager,3,Divorced,2,Yes,14,3,3,3,21,2,3,5,0,0,2
66,36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,95,2,2,Manufacturing Director,2,Single,1,No,13,3,3,0,6,3,3,6,5,0,3
67,45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,59,3,3,Research Scientist,1,Divorced,2,No,17,3,3,1,25,2,3,1,0,0,0
68,35,No,Travel_Frequently,Research & Development,1,3,Medical,2,79,3,1,Research Scientist,1,Married,4,No,13,3,4,1,5,2,2,3,2,1,2
69,36,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,79,2,1,Research Scientist,3,Married,0,Yes,17,3,1,1,2,0,2,1,0,0,0
70,59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,57,2,2,Sales Executive,3,Single,7,No,11,3,4,0,20,2,2,4,3,1,3
71,29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,76,3,1,Research Scientist,2,Married,0,No,23,4,4,1,6,3,3,5,4,0,4
72,31,No,Travel_Rarely,Research & Development,1,4,Medical,3,87,3,1,Research Scientist,2,Single,1,No,17,3,2,0,1,4,3,1,1,1,0
73,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,66,3,2,Research Scientist,2,Married,1,No,17,3,2,2,10,3,3,10,4,0,9
74,36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,55,4,1,Laboratory Technician,4,Married,3,No,12,3,2,0,5,3,3,1,0,0,0
75,31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,61,3,2,Manufacturing Director,4,Single,1,No,23,4,4,0,11,2,3,11,7,1,8
76,35,No,Travel_Rarely,Sales,1,4,Marketing,3,32,2,2,Sales Executive,1,Single,0,No,14,3,2,0,16,2,3,15,13,2,8
77,45,No,Travel_Rarely,Research & Development,6,4,Other,4,52,3,3,Research Director,1,Married,4,Yes,14,3,2,0,17,3,4,0,0,0,0
78,37,No,Travel_Rarely,Research & Development,7,4,Medical,1,30,3,3,Research Director,3,Single,4,No,13,3,1,0,16,3,4,5,2,0,2
79,46,No,Travel_Rarely,Human Resources,5,2,Medical,2,80,3,2,Human Resources,2,Divorced,8,Yes,22,4,4,1,16,2,3,4,2,0,2
80,30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,55,2,2,Laboratory Technician,4,Married,1,Yes,12,3,3,2,10,1,2,10,8,3,0
81,35,No,Travel_Rarely,Research & Development,1,3,Medical,2,30,2,1,Research Scientist,3,Single,1,No,18,3,1,0,6,3,3,6,4,0,4
82,55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,70,3,3,Sales Executive,4,Married,3,No,14,3,4,1,24,4,3,1,0,1,0
83,38,No,Non-Travel,Research & Development,6,3,Medical,2,79,1,2,Research Scientist,4,Divorced,7,Yes,12,3,4,3,17,3,3,13,11,1,9
84,34,No,Travel_Rarely,Research & Development,1,2,Medical,1,94,3,2,Manufacturing Director,2,Married,1,No,15,3,3,0,5,2,3,5,2,1,3
85,56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,49,1,3,Manufacturing Director,4,Single,4,No,11,3,1,0,37,3,2,6,4,0,2
86,23,No,Travel_Rarely,Sales,2,1,Technical Degree,3,62,3,1,Sales Representative,1,Divorced,3,No,13,3,3,1,3,3,3,0,0,0,0
87,51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,96,3,1,Laboratory Technician,4,Married,3,No,23,4,2,2,10,4,3,4,2,0,3
88,30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,99,2,2,Healthcare Representative,4,Married,1,No,19,3,1,3,11,3,3,11,10,10,8
89,46,Yes,Travel_Rarely,Sales,9,2,Medical,3,64,2,3,Sales Executive,4,Single,1,No,16,3,4,0,9,3,3,9,8,4,7
90,40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,78,2,4,Healthcare Representative,2,Married,1,No,22,4,4,1,22,3,2,22,3,11,11
91,51,No,Travel_Rarely,Sales,21,4,Marketing,3,71,3,2,Sales Executive,4,Single,0,Yes,22,4,4,0,11,2,1,10,7,1,0
92,30,No,Travel_Rarely,Sales,4,2,Medical,3,63,2,2,Sales Executive,2,Divorced,1,Yes,12,3,2,3,11,4,2,11,8,2,7
93,46,No,Travel_Frequently,Research & Development,1,3,Medical,3,40,2,3,Healthcare Representative,1,Married,2,Yes,13,3,3,1,21,5,2,10,9,9,5
94,32,No,Travel_Rarely,Sales,6,4,Medical,2,87,3,2,Sales Executive,3,Single,1,No,16,3,1,0,12,0,3,11,8,5,7
95,54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,60,3,3,Research Director,3,Married,9,No,12,3,1,1,16,5,1,4,3,0,3
96,24,No,Travel_Rarely,Sales,3,2,Other,1,33,3,2,Sales Executive,3,Married,0,No,21,4,1,1,4,2,2,3,2,0,2
97,28,No,Non-Travel,Sales,4,3,Medical,2,43,3,2,Sales Executive,3,Married,1,No,15,3,2,0,5,3,4,5,4,0,4
98,58,No,Travel_Rarely,Sales,10,4,Medical,4,37,3,4,Sales Executive,3,Single,0,No,13,3,3,0,38,1,2,37,10,1,8
99,44,No,Non-Travel,Research & Development,23,3,Medical,2,67,3,2,Laboratory Technician,2,Married,4,No,12,3,3,1,17,3,4,3,2,1,2
100,37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,3,63,3,1,Human Resources,1,Divorced,4,Yes,22,4,4,0,7,3,3,3,2,0,2
101,32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,71,3,1,Research Scientist,1,Single,1,No,13,3,4,0,1,2,3,1,0,0,0
102,20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,66,2,1,Laboratory Technician,4,Single,1,Yes,18,3,2,0,1,5,3,1,0,1,0
103,34,No,Travel_Rarely,Research & Development,6,4,Other,1,41,3,2,Research Scientist,3,Single,1,No,14,3,3,0,16,3,3,16,13,2,10
104,37,No,Non-Travel,Research & Development,2,2,Life Sciences,3,100,2,2,Healthcare Representative,4,Divorced,5,No,14,3,4,1,17,2,4,1,0,0,0
105,59,No,Non-Travel,Human Resources,2,4,Human Resources,3,32,2,5,Manager,4,Married,9,No,21,4,4,1,30,3,3,3,2,2,2
106,50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,73,3,5,Research Director,2,Married,3,Yes,19,3,1,0,28,1,2,8,3,0,7
107,25,Yes,Travel_Rarely,Sales,5,3,Marketing,3,46,2,2,Sales Executive,3,Single,1,Yes,11,3,4,0,6,1,3,6,4,0,3
108,25,No,Travel_Rarely,Research & Development,7,1,Medical,4,64,2,1,Research Scientist,4,Married,1,No,11,3,3,2,2,2,3,2,2,2,1
109,22,No,Travel_Rarely,Research & Development,15,3,Medical,2,59,3,1,Laboratory Technician,4,Single,1,No,15,3,3,0,1,5,3,0,0,0,0
110,51,No,Travel_Frequently,Research & Development,1,4,Medical,1,30,2,3,Healthcare Representative,1,Single,3,No,20,4,3,0,23,1,2,13,12,12,8
111,34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,66,1,2,Laboratory Technician,3,Single,1,Yes,24,4,4,0,9,3,3,9,7,0,6
112,54,No,Non-Travel,Human Resources,26,3,Human Resources,4,30,4,4,Manager,4,Single,2,Yes,12,3,3,0,23,3,3,5,3,4,4
113,24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,52,3,1,Laboratory Technician,3,Married,0,No,12,3,3,1,6,2,3,5,3,1,2
114,34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,3,45,2,2,Research Scientist,2,Divorced,6,No,15,3,3,1,12,3,3,1,0,0,0
115,37,No,Travel_Rarely,Sales,3,3,Life Sciences,3,87,3,3,Sales Executive,4,Single,2,No,12,3,1,0,12,3,3,5,3,1,3
116,34,No,Travel_Rarely,Research & Development,5,3,Medical,3,45,2,3,Manager,1,Single,2,No,12,3,4,0,14,6,3,11,10,5,8
117,36,No,Travel_Frequently,Sales,11,2,Technical Degree,2,92,3,3,Sales Executive,4,Married,0,No,14,3,3,1,10,6,3,9,7,2,8
118,36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,39,3,1,Laboratory Technician,4,Divorced,5,No,22,4,1,1,7,2,3,1,0,0,0
119,43,No,Travel_Frequently,Sales,26,2,Life Sciences,3,92,3,4,Manager,4,Married,1,Yes,12,3,4,2,25,3,4,25,12,4,12
120,30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,96,1,1,Research Scientist,3,Divorced,1,No,25,4,3,3,10,2,2,10,7,0,9
121,33,No,Non-Travel,Sales,22,2,Marketing,3,95,3,2,Sales Executive,2,Married,0,No,13,3,1,1,8,2,4,7,7,0,7
122,56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,2,72,3,1,Research Scientist,2,Married,9,Yes,18,3,1,3,7,2,3,5,4,4,3
123,51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,51,3,5,Research Director,3,Single,7,No,13,3,3,0,23,5,3,20,18,15,15
124,31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,2,76,1,2,Sales Executive,3,Married,4,Yes,18,3,2,0,12,3,2,7,7,7,7
125,26,No,Travel_Rarely,Research & Development,6,3,Other,3,46,2,1,Research Scientist,2,Married,1,No,19,3,3,0,5,3,2,5,4,4,3
126,58,Yes,Travel_Rarely,Research & Development,23,4,Medical,4,94,3,3,Healthcare Representative,4,Married,1,No,12,3,4,1,40,3,2,40,10,15,6
127,19,Yes,Travel_Rarely,Sales,22,1,Marketing,4,50,3,1,Sales Representative,3,Single,1,Yes,19,3,4,0,0,2,2,0,0,0,0
128,22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,3,100,3,1,Laboratory Technician,4,Married,0,No,14,3,3,1,3,2,3,2,1,2,1
129,49,No,Travel_Rarely,Research & Development,20,4,Medical,3,96,3,2,Manufacturing Director,1,Married,1,No,14,3,3,0,16,2,2,15,11,5,11
130,43,No,Travel_Frequently,Research & Development,28,3,Medical,2,72,4,1,Research Scientist,3,Single,4,No,12,3,4,0,18,2,3,3,2,1,2
131,50,No,Travel_Frequently,Sales,12,3,Marketing,3,77,3,3,Sales Executive,4,Single,4,No,11,3,4,0,16,3,3,2,2,2,1
132,31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,2,71,1,2,Sales Executive,3,Married,3,Yes,11,3,3,1,4,2,3,2,2,2,2
133,41,No,Travel_Rarely,Sales,9,1,Life Sciences,3,96,3,3,Sales Executive,3,Divorced,3,Yes,13,3,3,1,12,2,3,9,7,0,7
134,26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,3,61,3,1,Human Resources,3,Married,1,No,23,4,4,1,8,3,3,8,7,5,7
135,36,No,Travel_Rarely,Research & Development,6,2,Medical,2,84,3,2,Manufacturing Director,2,Divorced,6,No,20,4,4,2,7,0,3,3,2,0,1
136,51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,53,1,3,Manufacturing Director,4,Single,2,No,15,3,4,0,18,2,3,4,2,0,3
137,39,No,Travel_Rarely,Sales,4,4,Life Sciences,4,47,2,2,Sales Executive,3,Married,4,No,14,3,3,1,17,1,4,15,11,5,9
138,25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,41,2,2,Sales Executive,3,Married,2,No,18,3,4,0,6,3,3,2,2,2,2
139,30,No,Travel_Rarely,Human Resources,9,3,Human Resources,3,48,3,2,Human Resources,4,Married,0,Yes,19,3,4,0,12,2,1,11,9,4,7
140,32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,41,3,1,Laboratory Technician,1,Single,7,No,22,4,1,0,10,2,4,5,4,0,4
141,45,No,Travel_Rarely,Research & Development,29,3,Medical,3,83,3,1,Research Scientist,4,Single,5,No,13,3,2,0,9,2,2,6,5,0,3
142,38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,4,32,3,2,Research Scientist,3,Single,3,Yes,20,4,2,0,19,2,3,3,2,2,2
143,30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,75,3,1,Research Scientist,3,Single,1,No,14,3,3,0,5,4,2,5,4,0,4
144,32,No,Travel_Frequently,Sales,9,2,Medical,4,35,1,2,Sales Executive,4,Divorced,0,No,17,3,4,3,9,2,4,8,7,0,7
145,30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,4,84,3,1,Research Scientist,1,Divorced,5,No,14,3,4,1,8,3,3,3,2,2,2
146,30,No,Travel_Rarely,Research & Development,2,1,Medical,2,35,2,1,Laboratory Technician,4,Single,0,No,13,3,4,0,6,3,3,5,3,1,2
147,41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,4,91,2,4,Manager,1,Divorced,4,No,13,3,2,1,21,2,2,7,6,7,7
148,41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,94,3,1,Laboratory Technician,1,Married,2,No,21,4,4,1,7,2,3,5,0,1,4
149,19,No,Travel_Rarely,Research & Development,3,1,Medical,2,79,3,1,Laboratory Technician,2,Single,1,No,14,3,4,0,1,3,3,1,0,0,0
150,40,No,Travel_Frequently,Research & Development,26,3,Medical,2,54,3,2,Research Scientist,2,Divorced,1,No,11,3,1,1,20,2,3,20,7,2,13
151,35,No,Travel_Rarely,Sales,1,5,Marketing,3,94,3,3,Sales Executive,2,Married,1,No,13,3,1,2,10,3,3,10,8,0,6
152,53,No,Travel_Rarely,Sales,6,2,Marketing,2,34,3,2,Sales Representative,3,Married,2,Yes,20,4,4,1,13,3,1,7,7,4,5
153,45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,2,60,3,2,Laboratory Technician,2,Divorced,8,No,18,3,3,1,20,2,1,17,9,0,15
154,32,No,Travel_Frequently,Sales,8,3,Marketing,2,43,3,3,Sales Executive,4,Single,1,No,14,3,4,0,9,2,3,9,8,3,7
155,29,No,Non-Travel,Research & Development,1,1,Technical Degree,4,41,3,2,Manufacturing Director,3,Married,1,No,13,3,1,1,10,1,3,10,7,0,9
156,51,No,Travel_Rarely,Research & Development,7,4,Medical,2,34,2,2,Manufacturing Director,3,Married,2,No,17,3,3,0,10,2,3,1,0,0,0
157,58,No,Travel_Rarely,Research & Development,9,3,Medical,2,75,2,1,Research Scientist,2,Married,4,Yes,20,4,2,1,9,3,2,1,0,0,0
158,40,No,Travel_Rarely,Sales,4,4,Marketing,3,67,2,3,Sales Executive,4,Married,7,No,11,3,1,1,15,2,2,12,11,2,11
159,34,No,Travel_Frequently,Sales,2,4,Marketing,3,75,3,1,Sales Representative,3,Married,6,No,18,3,4,1,6,3,3,4,3,1,2
160,22,No,Travel_Rarely,Research & Development,19,1,Medical,3,80,3,1,Research Scientist,4,Married,1,No,24,4,1,2,2,6,3,2,2,2,2
161,27,No,Non-Travel,Research & Development,9,3,Medical,4,57,3,1,Research Scientist,2,Divorced,6,No,18,3,4,1,6,1,1,2,2,2,2
162,28,No,Travel_Rarely,Research & Development,21,3,Medical,3,42,3,1,Research Scientist,4,Married,1,No,11,3,3,1,5,2,1,5,2,0,2
163,57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,3,83,4,3,Healthcare Representative,4,Divorced,3,Yes,16,3,2,1,12,2,1,5,3,1,4
164,27,No,Non-Travel,Research & Development,3,3,Medical,3,79,2,1,Research Scientist,3,Divorced,1,Yes,15,3,4,1,1,2,2,1,1,0,1
165,50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,3,53,3,5,Manager,2,Single,3,No,15,3,2,0,21,5,3,5,4,4,4
166,41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,56,3,1,Research Scientist,3,Divorced,4,No,12,3,1,1,13,2,3,9,8,1,8
167,30,No,Travel_Rarely,Sales,5,3,Life Sciences,2,41,3,3,Sales Executive,4,Married,2,No,12,3,3,1,12,2,3,10,9,7,4
168,38,No,Travel_Rarely,Sales,1,4,Life Sciences,1,59,2,2,Sales Executive,4,Single,4,No,22,4,3,0,12,2,4,8,3,0,7
169,32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,3,43,3,1,Research Scientist,3,Single,3,No,20,4,1,0,8,2,3,5,4,1,4
170,27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,3,51,3,1,Research Scientist,2,Married,0,Yes,16,3,4,1,6,3,2,5,2,1,1
171,19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,3,100,1,1,Sales Representative,1,Single,0,No,21,4,1,0,1,5,4,0,0,0,0
172,36,No,Travel_Frequently,Research & Development,3,2,Medical,4,30,3,1,Laboratory Technician,2,Single,4,No,12,3,3,0,13,3,2,8,7,7,2
173,30,No,Non-Travel,Research & Development,9,3,Medical,3,66,3,2,Laboratory Technician,1,Divorced,1,No,11,3,3,2,12,4,3,12,9,6,10
